id_venta,producto,cantidad,precio_unitario,total,fecha
111,Laptop,3,2625,7875,2024-01-31
112,Teclado,3,2208,6624,2024-12-22
113,Impresora,1,4845,4845,2024-10-26
114,Teclado,4,608,2432,2024-12-23
115,Laptop,3,4492,13476,2024-04-08
116,Impresora,2,1427,2854,2024-08-26
117,Memoria USB,3,4866,14598,2024-02-16
118,Celular,2,4742,9484,2024-10-05
119,Celular,4,3410,13640,2025-03-12
120,Disco Duro,3,3460,10380,2025-04-03
121,Memoria USB,1,1649,1649,2024-05-18
122,Memoria USB,1,1014,1014,2024-03-15
123,Teclado,3,4818,14454,2023-11-12
124,Celular,4,2079,8316,2024-03-02
125,Laptop,4,4592,18368,2025-05-01
126,Monitor,1,3006,3006,2024-02-27
127,Monitor,3,420,1260,2024-05-24
128,Impresora,4,2875,11500,2023-11-04
129,Celular,1,2244,2244,2023-09-01
130,Celular,2,3432,6864,2025-05-18
131,Monitor,3,76,228,2024-03-25
132,Celular,2,1895,3790,2024-06-07
133,Teclado,2,4563,9126,2024-11-09
134,Tablet,4,4318,17272,2025-02-24
135,Mouse,4,3788,15152,2024-03-02
136,Memoria USB,4,4853,19412,2025-05-22
137,Disco Duro,3,4317,12951,2024-06-06
138,Impresora,2,1373,2746,2025-03-27
139,Tablet,3,2430,7290,2025-06-01
140,Monitor,4,4331,17324,2024-01-13
141,Memoria USB,2,2622,5244,2024-09-14
142,Celular,3,2954,8862,2024-10-02
143,Disco Duro,3,42,126,2024-08-26
144,Celular,1,2222,2222,2024-11-05
145,Laptop,3,1229,3687,2025-06-03
146,Laptop,4,2316,9264,2025-03-08
147,Disco Duro,3,768,2304,2025-02-01
148,Disco Duro,2,824,1648,2025-06-29
149,Monitor,3,153,459,2023-09-04
150,Disco Duro,1,4436,4436,2025-07-24
151,Teclado,2,2457,4914,2024-07-27
152,Celular,2,453,906,2024-06-29
153,Tablet,1,4988,4988,2023-12-04
154,Auriculares,4,3691,14764,2024-07-26
155,Disco Duro,2,3756,7512,2024-03-07
156,Impresora,4,4059,16236,2024-06-17
157,Laptop,2,2118,4236,2024-11-08
158,Teclado,2,2937,5874,2024-08-15
159,Memoria USB,4,272,1088,2024-08-24
160,Auriculares,2,4854,9708,2024-02-07
161,Tablet,4,1149,4596,2024-01-18
162,Auriculares,1,3284,3284,2023-10-03
163,Disco Duro,4,321,1284,2024-03-11
164,Monitor,1,1997,1997,2024-04-22
165,Laptop,2,2783,5566,2025-06-21
166,Laptop,4,4025,16100,2024-11-28
167,Memoria USB,2,3261,6522,2024-11-13
168,Monitor,4,3077,12308,2024-11-01
169,Celular,1,570,570,2025-02-03
170,Mouse,1,1607,1607,2025-03-09
171,Teclado,4,1842,7368,2025-04-10
172,Laptop,1,3237,3237,2024-05-21
173,Impresora,2,3516,7032,2024-10-25
174,Laptop,2,4429,8858,2024-03-22
175,Auriculares,3,4299,12897,2023-12-04
176,Laptop,1,732,732,2024-03-01
177,Laptop,2,2195,4390,2025-07-11
178,Mouse,4,4092,16368,2025-06-11
179,Mouse,1,3869,3869,2024-09-05
180,Tablet,2,2453,4906,2023-11-11
181,Celular,1,3321,3321,2025-07-27
182,Impresora,4,290,1160,2025-02-21
183,Laptop,2,1814,3628,2024-09-02
184,Laptop,3,4926,14778,2024-01-23
185,Teclado,3,2482,7446,2025-05-25
186,Mouse,1,4313,4313,2025-03-15
187,Impresora,4,3414,13656,2024-04-18
188,Memoria USB,2,1099,2198,2024-08-30
189,Tablet,4,2898,11592,2024-03-13
190,Celular,2,4743,9486,2025-04-24
191,Monitor,1,623,623,2024-08-06
192,Celular,2,1605,3210,2025-07-10
193,Auriculares,4,3077,12308,2024-01-12
194,Laptop,4,4005,16020,2024-02-27
195,Tablet,1,4709,4709,2024-05-20
196,Auriculares,4,1415,5660,2025-02-04
197,Impresora,2,3708,7416,2024-06-17
198,Monitor,1,619,619,2024-10-21
199,Mouse,2,533,1066,2023-10-07
200,Tablet,4,1086,4344,2023-11-25
201,Tablet,1,2906,2906,2023-10-25
202,Laptop,2,2673,5346,2024-10-08
203,Disco Duro,4,4925,19700,2025-05-26
204,Tablet,4,1108,4432,2023-08-31
205,Teclado,3,4405,13215,2024-11-23
206,Monitor,4,4884,19536,2025-08-06
207,Monitor,2,2534,5068,2024-10-04
208,Teclado,1,3989,3989,2024-12-04
209,Memoria USB,3,3304,9912,2025-01-09
210,Teclado,4,4586,18344,2025-07-08
211,Teclado,4,2216,8864,2023-11-03
212,Monitor,4,4203,16812,2023-11-14
213,Celular,2,809,1618,2023-10-20
214,Monitor,3,3495,10485,2023-09-12
215,Disco Duro,2,3173,6346,2024-11-22
216,Laptop,3,1684,5052,2024-01-26
217,Auriculares,1,1329,1329,2024-07-16
218,Celular,2,884,1768,2025-03-17
219,Mouse,2,3883,7766,2025-03-20
220,Auriculares,1,3383,3383,2025-07-02
221,Laptop,3,3544,10632,2024-03-12
222,Disco Duro,4,3806,15224,2025-05-24
223,Disco Duro,1,43,43,2023-12-06
224,Mouse,4,3023,12092,2023-12-22
225,Celular,4,330,1320,2024-07-05
226,Memoria USB,1,1251,1251,2024-02-20
227,Teclado,3,3808,11424,2025-04-28
228,Celular,4,2731,10924,2024-07-03
229,Memoria USB,1,4821,4821,2025-05-08
230,Disco Duro,2,441,882,2024-10-01
231,Monitor,2,1793,3586,2023-10-31
232,Laptop,2,3588,7176,2024-01-29
233,Mouse,1,966,966,2024-04-18
234,Laptop,2,1206,2412,2025-01-26
235,Impresora,4,1854,7416,2024-01-07
236,Impresora,2,1584,3168,2024-12-29
237,Celular,2,4964,9928,2025-07-01
238,Disco Duro,4,1967,7868,2024-04-25
239,Disco Duro,2,1328,2656,2025-02-15
240,Teclado,4,3006,12024,2025-01-27
241,Teclado,2,406,812,2024-04-21
242,Teclado,4,1181,4724,2025-05-03
243,Monitor,2,3278,6556,2024-07-23
244,Auriculares,4,4831,19324,2024-10-17
245,Tablet,1,3953,3953,2024-03-03
246,Auriculares,4,2867,11468,2024-06-25
247,Laptop,2,4541,9082,2025-05-28
248,Auriculares,2,1459,2918,2025-01-09
249,Monitor,3,3462,10386,2024-05-29
250,Laptop,4,4500,18000,2025-06-27
251,Auriculares,1,75,75,2024-11-03
252,Monitor,4,3344,13376,2025-08-06
253,Tablet,4,125,500,2025-04-21
254,Auriculares,1,3221,3221,2024-12-17
255,Monitor,4,689,2756,2024-04-01
256,Teclado,1,4491,4491,2023-12-17
257,Disco Duro,1,762,762,2024-03-01
258,Teclado,4,986,3944,2025-05-01
259,Disco Duro,4,327,1308,2025-01-19
260,Mouse,2,2158,4316,2025-02-02
261,Mouse,2,3484,6968,2024-06-24
262,Mouse,3,4917,14751,2025-02-04
263,Tablet,3,129,387,2023-12-22
264,Teclado,4,3652,14608,2025-06-01
265,Disco Duro,1,4455,4455,2025-04-05
266,Monitor,3,1935,5805,2024-01-23
267,Laptop,4,4283,17132,2025-02-09
268,Monitor,3,576,1728,2024-11-16
269,Laptop,1,124,124,2024-02-07
270,Impresora,4,2067,8268,2023-10-20
271,Monitor,1,165,165,2024-06-18
272,Auriculares,4,2783,11132,2025-02-25
273,Auriculares,3,893,2679,2025-02-22
274,Celular,2,318,636,2023-12-17
275,Teclado,3,3258,9774,2023-12-27
276,Laptop,3,665,1995,2024-09-30
277,Laptop,2,4753,9506,2024-09-24
278,Teclado,2,3098,6196,2025-01-18
279,Tablet,4,2531,10124,2025-01-01
280,Celular,4,803,3212,2025-01-31
281,Tablet,1,390,390,2024-09-23
282,Tablet,1,506,506,2024-05-13
283,Tablet,3,2057,6171,2024-05-11
284,Teclado,2,3216,6432,2024-09-23
285,Tablet,1,1380,1380,2025-05-29
286,Auriculares,3,4307,12921,2025-08-16
287,Mouse,2,4845,9690,2025-01-30
288,Impresora,4,2281,9124,2024-10-31
289,Laptop,3,2641,7923,2024-08-16
290,Laptop,4,976,3904,2023-12-29
291,Impresora,1,400,400,2025-05-17
292,Teclado,1,3669,3669,2024-04-19
293,Monitor,2,4913,9826,2025-05-10
294,Teclado,3,258,774,2025-07-31
295,Laptop,4,1125,4500,2024-03-31
296,Laptop,2,1406,2812,2024-03-23
297,Impresora,1,2572,2572,2025-04-05
298,Tablet,1,2269,2269,2024-01-04
299,Teclado,3,1547,4641,2024-09-11
300,Disco Duro,4,1687,6748,2024-06-20
301,Impresora,3,4152,12456,2024-06-04
302,Auriculares,4,2711,10844,2025-03-06
303,Laptop,4,3692,14768,2024-02-27
304,Impresora,3,2016,6048,2024-06-14
305,Teclado,2,1445,2890,2025-01-29
306,Laptop,3,2832,8496,2024-09-14
307,Monitor,3,3267,9801,2024-11-23
308,Impresora,1,2612,2612,2024-05-09
309,Celular,1,1510,1510,2025-07-26
310,Laptop,3,1244,3732,2025-08-06
311,Teclado,3,2607,7821,2023-12-13
312,Mouse,1,3084,3084,2023-09-27
313,Disco Duro,4,852,3408,2023-11-09
314,Memoria USB,3,4712,14136,2024-05-23
315,Tablet,2,2460,4920,2024-05-26
316,Memoria USB,2,4815,9630,2025-06-26
317,Teclado,2,1666,3332,2024-06-29
318,Auriculares,3,460,1380,2025-02-01
319,Auriculares,4,1549,6196,2024-03-13
320,Mouse,4,2985,11940,2023-09-08
321,Tablet,1,2387,2387,2025-08-05
322,Celular,3,3306,9918,2024-12-10
323,Mouse,4,4683,18732,2025-01-14
324,Memoria USB,3,4351,13053,2024-03-19
325,Mouse,1,1324,1324,2025-01-02
326,Memoria USB,1,3054,3054,2024-09-27
327,Laptop,1,3708,3708,2024-10-24
328,Auriculares,2,3993,7986,2023-11-08
329,Laptop,3,1205,3615,2025-03-12
330,Disco Duro,1,3282,3282,2023-11-10
331,Tablet,3,2127,6381,2024-06-23
332,Celular,2,1860,3720,2023-10-19
333,Memoria USB,2,4340,8680,2025-02-02
334,Celular,1,2767,2767,2024-03-17
335,Memoria USB,1,4697,4697,2025-01-14
336,Teclado,4,4284,17136,2024-01-04
337,Mouse,3,3153,9459,2025-01-25
338,Disco Duro,1,3440,3440,2025-03-25
339,Auriculares,4,1485,5940,2023-11-13
340,Memoria USB,3,4129,12387,2025-05-04
341,Celular,1,2231,2231,2023-10-05
342,Disco Duro,4,2824,11296,2024-12-17
343,Monitor,4,1563,6252,2025-05-27
344,Monitor,3,1709,5127,2024-12-27
345,Laptop,4,1591,6364,2025-01-02
346,Auriculares,3,4561,13683,2023-09-09
347,Teclado,3,3299,9897,2025-04-18
348,Celular,3,3561,10683,2024-06-11
349,Mouse,2,4831,9662,2024-01-17
350,Mouse,4,3043,12172,2024-12-06
351,Celular,3,838,2514,2024-02-10
352,Tablet,1,4541,4541,2025-03-07
353,Teclado,2,1144,2288,2025-02-03
354,Disco Duro,2,4965,9930,2023-12-20
355,Memoria USB,4,1149,4596,2023-10-27
356,Tablet,3,1722,5166,2024-01-10
357,Memoria USB,4,2021,8084,2024-11-10
358,Memoria USB,2,3898,7796,2025-01-09
359,Tablet,3,4392,13176,2024-02-27
360,Laptop,1,1826,1826,2024-01-27
361,Monitor,3,2967,8901,2025-04-23
362,Memoria USB,2,3229,6458,2025-06-22
363,Tablet,1,2172,2172,2024-04-24
364,Tablet,3,4661,13983,2023-09-24
365,Impresora,1,4225,4225,2024-08-17
366,Laptop,1,564,564,2024-07-17
367,Auriculares,2,2421,4842,2025-01-15
368,Impresora,1,4858,4858,2023-11-01
369,Impresora,4,2384,9536,2024-06-30
370,Celular,2,1309,2618,2025-08-19
371,Monitor,4,3785,15140,2023-11-09
372,Tablet,1,1895,1895,2024-02-07
373,Monitor,4,4448,17792,2024-02-18
374,Teclado,3,4707,14121,2025-05-11
375,Celular,1,802,802,2024-05-08
376,Auriculares,3,559,1677,2024-12-20
377,Monitor,4,2802,11208,2023-08-27
378,Mouse,3,2688,8064,2024-06-14
379,Memoria USB,1,4734,4734,2025-05-03
380,Teclado,3,3957,11871,2024-08-16
381,Laptop,4,2976,11904,2023-12-17
382,Auriculares,4,3742,14968,2024-08-13
383,Teclado,4,3887,15548,2024-11-03
384,Memoria USB,1,1853,1853,2024-07-18
385,Celular,4,2166,8664,2025-01-28
386,Memoria USB,1,2190,2190,2025-06-06
387,Impresora,3,3411,10233,2024-02-26
388,Memoria USB,4,1636,6544,2024-05-29
389,Impresora,3,4637,13911,2025-01-14
390,Celular,2,936,1872,2024-11-30
391,Disco Duro,3,4832,14496,2023-12-15
392,Impresora,2,2776,5552,2024-04-14
393,Laptop,3,1956,5868,2024-07-25
394,Memoria USB,1,4062,4062,2025-01-25
395,Memoria USB,3,3111,9333,2024-03-08
396,Laptop,1,4675,4675,2023-10-11
397,Mouse,1,988,988,2024-01-11
398,Tablet,4,3384,13536,2025-01-31
399,Disco Duro,1,3223,3223,2025-01-17
400,Auriculares,2,909,1818,2025-06-22
401,Impresora,4,812,3248,2023-09-21
402,Laptop,4,3478,13912,2023-11-12
403,Celular,3,1001,3003,2023-09-22
404,Impresora,1,3551,3551,2024-07-20
405,Tablet,1,3549,3549,2025-06-12
406,Celular,2,821,1642,2024-02-15
407,Teclado,3,62,186,2024-08-26
408,Memoria USB,3,3369,10107,2025-02-19
409,Teclado,4,1797,7188,2025-02-07
410,Impresora,4,3221,12884,2023-12-06
411,Tablet,4,369,1476,2023-11-27
412,Disco Duro,2,1587,3174,2024-04-08
413,Impresora,2,1149,2298,2024-04-05
414,Laptop,4,2979,11916,2024-08-27
415,Monitor,3,3807,11421,2023-11-30
416,Impresora,2,1800,3600,2024-11-09
417,Memoria USB,3,603,1809,2024-12-02
418,Memoria USB,3,4547,13641,2023-10-16
419,Impresora,1,3397,3397,2024-03-04
420,Celular,4,3421,13684,2025-01-23
421,Monitor,1,3205,3205,2024-10-19
422,Laptop,4,2214,8856,2024-07-02
423,Impresora,4,1182,4728,2023-12-28
424,Celular,3,318,954,2023-09-23
425,Memoria USB,4,3367,13468,2023-11-23
426,Memoria USB,3,1959,5877,2025-01-22
427,Tablet,3,808,2424,2024-05-06
428,Impresora,4,4965,19860,2024-03-29
429,Monitor,3,2909,8727,2023-12-06
430,Mouse,3,1397,4191,2025-02-20
431,Monitor,3,1969,5907,2024-10-11
432,Memoria USB,2,3292,6584,2025-03-01
433,Memoria USB,3,897,2691,2024-06-26
434,Teclado,2,3762,7524,2024-08-22
435,Memoria USB,2,1597,3194,2025-01-24
436,Laptop,3,3159,9477,2024-11-23
437,Auriculares,3,2512,7536,2025-04-12
438,Impresora,2,2775,5550,2024-08-26
439,Monitor,2,1923,3846,2024-07-18
440,Auriculares,3,1402,4206,2025-07-11
441,Celular,3,4260,12780,2025-05-25
442,Mouse,4,2342,9368,2025-07-29
443,Laptop,2,2576,5152,2023-09-02
444,Monitor,2,1881,3762,2025-01-10
445,Auriculares,4,1886,7544,2024-10-14
446,Mouse,2,4067,8134,2023-12-22
447,Teclado,1,3195,3195,2024-04-13
448,Laptop,2,1118,2236,2024-07-18
449,Laptop,4,1754,7016,2025-02-15
450,Teclado,1,4683,4683,2024-08-04
451,Impresora,3,3436,10308,2024-10-07
452,Teclado,4,4646,18584,2024-04-02
453,Laptop,4,700,2800,2024-01-22
454,Laptop,3,2090,6270,2024-03-21
455,Auriculares,4,4844,19376,2023-11-22
456,Memoria USB,2,1749,3498,2024-07-18
457,Mouse,3,2211,6633,2024-12-01
458,Teclado,4,687,2748,2025-05-24
459,Mouse,3,1632,4896,2025-07-31
460,Teclado,3,700,2100,2025-02-26
461,Celular,3,992,2976,2024-04-06
462,Laptop,1,2866,2866,2024-03-03
463,Memoria USB,4,2152,8608,2025-02-02
464,Auriculares,1,2483,2483,2024-04-21
465,Memoria USB,4,2549,10196,2024-09-14
466,Memoria USB,2,2523,5046,2024-05-24
467,Memoria USB,2,4942,9884,2024-11-14
468,Mouse,2,4412,8824,2025-05-22
469,Teclado,4,3203,12812,2025-03-31
470,Disco Duro,3,4053,12159,2025-03-18
471,Celular,3,3187,9561,2024-12-12
472,Monitor,1,3017,3017,2024-12-14
473,Memoria USB,1,3247,3247,2024-06-05
474,Impresora,2,2172,4344,2025-07-20
475,Mouse,1,1748,1748,2025-07-12
476,Auriculares,4,2044,8176,2025-06-30
477,Monitor,4,349,1396,2025-07-17
478,Disco Duro,1,2506,2506,2025-02-12
479,Impresora,1,1175,1175,2024-07-17
480,Disco Duro,1,1910,1910,2024-12-04
481,Monitor,1,4497,4497,2025-02-06
482,Memoria USB,2,2205,4410,2024-12-01
483,Impresora,2,4958,9916,2024-10-15
484,Disco Duro,1,2337,2337,2025-04-21
485,Auriculares,4,3641,14564,2023-12-22
486,Teclado,2,4511,9022,2024-06-25
487,Laptop,4,2531,10124,2024-07-21
488,Teclado,3,469,1407,2024-10-15
489,Monitor,4,1374,5496,2024-07-13
490,Mouse,1,1313,1313,2025-06-01
491,Laptop,3,2485,7455,2025-03-17
492,Celular,2,3122,6244,2024-04-28
493,Auriculares,2,1869,3738,2023-11-25
494,Celular,3,3195,9585,2024-06-13
495,Impresora,4,4301,17204,2024-02-22
496,Laptop,2,3219,6438,2024-05-08
497,Celular,1,1253,1253,2025-06-19
498,Celular,3,1457,4371,2024-02-24
499,Disco Duro,1,3372,3372,2024-10-04
500,Teclado,3,4050,12150,2023-10-30
501,Disco Duro,2,272,544,2025-05-10
502,Laptop,4,38,152,2023-08-30
503,Laptop,3,2779,8337,2024-05-13
504,Monitor,3,242,726,2024-12-18
505,Disco Duro,1,22,22,2025-04-30
506,Tablet,2,1279,2558,2024-08-27
507,Teclado,1,4969,4969,2025-06-29
508,Laptop,2,4343,8686,2023-11-13
509,Monitor,1,4614,4614,2025-05-29
510,Disco Duro,3,2588,7764,2024-03-20
511,Teclado,1,1905,1905,2024-06-30
512,Disco Duro,4,1319,5276,2025-04-17
513,Celular,2,2358,4716,2024-07-24
514,Monitor,2,1096,2192,2024-12-24
515,Teclado,3,3778,11334,2024-09-28
516,Memoria USB,2,3201,6402,2025-05-22
517,Impresora,4,4830,19320,2024-02-29
518,Impresora,1,967,967,2025-06-23
519,Teclado,3,3758,11274,2024-07-22
520,Disco Duro,4,2751,11004,2025-01-25
521,Monitor,2,4027,8054,2025-05-02
522,Impresora,2,889,1778,2023-11-17
523,Monitor,4,113,452,2025-03-23
524,Impresora,1,3007,3007,2023-10-23
525,Celular,1,4675,4675,2024-09-12
526,Disco Duro,3,1795,5385,2024-01-15
527,Celular,2,2280,4560,2024-01-22
528,Impresora,4,455,1820,2025-05-02
529,Memoria USB,1,4967,4967,2025-06-12
530,Memoria USB,3,4320,12960,2025-07-20
531,Celular,2,3164,6328,2024-08-05
532,Memoria USB,2,3607,7214,2024-02-16
533,Impresora,3,96,288,2024-12-21
534,Teclado,3,835,2505,2025-06-13
535,Celular,1,787,787,2024-04-25
536,Mouse,4,3705,14820,2024-05-02
537,Disco Duro,2,125,250,2025-01-03
538,Memoria USB,4,3936,15744,2025-02-13
539,Memoria USB,2,2893,5786,2024-08-08
540,Laptop,2,3366,6732,2025-01-15
541,Tablet,4,3168,12672,2023-09-04
542,Celular,3,3168,9504,2025-03-03
543,Auriculares,1,1485,1485,2024-01-20
544,Memoria USB,2,2607,5214,2023-10-11
545,Disco Duro,3,264,792,2024-03-24
546,Mouse,2,2645,5290,2025-05-27
547,Memoria USB,1,3869,3869,2024-08-28
548,Mouse,2,1425,2850,2023-12-13
549,Impresora,1,1001,1001,2024-04-30
550,Impresora,1,3828,3828,2024-07-28
551,Tablet,2,161,322,2023-10-14
552,Teclado,2,912,1824,2023-12-30
553,Auriculares,1,2419,2419,2024-03-02
554,Laptop,3,4660,13980,2025-04-04
555,Tablet,4,2980,11920,2023-10-18
556,Monitor,1,2219,2219,2023-11-27
557,Laptop,2,1489,2978,2024-03-07
558,Celular,2,2720,5440,2025-05-30
559,Disco Duro,3,3025,9075,2024-01-16
560,Monitor,4,4878,19512,2025-07-06
561,Monitor,1,3394,3394,2025-03-19
562,Tablet,1,4739,4739,2025-03-21
563,Teclado,4,675,2700,2024-06-12
564,Tablet,1,2788,2788,2025-08-14
565,Celular,4,62,248,2025-05-04
566,Memoria USB,2,2331,4662,2025-07-06
567,Memoria USB,4,1680,6720,2023-09-03
568,Teclado,1,4711,4711,2024-07-20
569,Celular,4,2244,8976,2024-03-29
570,Teclado,3,2130,6390,2024-09-23
571,Mouse,2,977,1954,2024-07-29
572,Memoria USB,2,580,1160,2025-01-15
573,Monitor,4,1350,5400,2024-02-10
574,Auriculares,1,1332,1332,2024-12-02
575,Disco Duro,3,1841,5523,2024-02-04
576,Celular,2,3022,6044,2025-07-21
577,Laptop,2,3423,6846,2024-02-08
578,Teclado,1,4965,4965,2025-03-08
579,Disco Duro,1,2671,2671,2025-01-15
580,Laptop,3,1834,5502,2024-02-27
581,Disco Duro,4,1761,7044,2023-12-20
582,Auriculares,1,4721,4721,2023-12-05
583,Laptop,4,3828,15312,2025-06-26
584,Tablet,3,2897,8691,2023-10-02
585,Impresora,4,3290,13160,2025-06-29
586,Tablet,2,4103,8206,2024-07-08
587,Memoria USB,4,765,3060,2024-07-22
588,Impresora,3,577,1731,2024-01-29
589,Tablet,3,3321,9963,2024-05-12
590,Impresora,3,961,2883,2025-02-02
591,Impresora,4,4043,16172,2025-07-07
592,Monitor,2,2316,4632,2024-12-11
593,Teclado,1,959,959,2024-08-08
594,Teclado,2,1630,3260,2025-02-17
595,Monitor,4,1745,6980,2024-03-19
596,Disco Duro,4,1004,4016,2024-12-30
597,Mouse,1,1607,1607,2024-09-07
598,Disco Duro,4,4041,16164,2025-06-28
599,Laptop,3,1356,4068,2024-12-15
600,Laptop,3,3157,9471,2023-08-27
601,Impresora,3,681,2043,2023-09-25
602,Tablet,3,52,156,2024-01-14
603,Tablet,3,3434,10302,2024-08-07
604,Teclado,4,1176,4704,2025-03-27
605,Celular,1,3146,3146,2024-11-29
606,Disco Duro,1,80,80,2024-08-04
607,Memoria USB,3,3948,11844,2023-12-25
608,Auriculares,4,1563,6252,2024-05-19
609,Tablet,2,291,582,2024-08-13
610,Auriculares,2,4096,8192,2025-01-30
611,Impresora,4,3408,13632,2025-01-01
612,Auriculares,3,2772,8316,2024-01-22
613,Memoria USB,1,2729,2729,2023-10-14
614,Monitor,4,1174,4696,2024-01-18
615,Memoria USB,2,4425,8850,2025-01-06
616,Auriculares,2,3873,7746,2024-11-14
617,Memoria USB,2,1765,3530,2024-03-28
618,Mouse,3,3452,10356,2025-05-08
619,Impresora,2,357,714,2024-05-25
620,Disco Duro,4,29,116,2024-11-16
621,Monitor,4,4164,16656,2024-10-23
622,Tablet,2,750,1500,2023-11-13
623,Laptop,4,4910,19640,2024-03-27
624,Disco Duro,2,1668,3336,2025-01-30
625,Laptop,2,4248,8496,2024-09-29
626,Impresora,1,3674,3674,2024-06-07
627,Monitor,3,2150,6450,2024-10-15
628,Teclado,3,4491,13473,2024-07-26
629,Tablet,1,2416,2416,2025-08-02
630,Mouse,1,4386,4386,2025-06-22
